City ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
112,Masaka,-0.33,31.73,75.02,39,25,6.95,UG,1595141527
113,Barrow,71.29,-156.79,35.6,80,90,6.2,US,1595140846
114,‘Āhuimanu,21.44,-157.84,80.6,69,20,4.6,US,1595141038
115,Cidreira,-30.18,-50.21,63.52,85,0,1.39,BR,1595140986
116,Arraial do Cabo,-22.97,-42.03,68.97,76,0,7.17,BR,1595140948
117,Ouadda,8.08,22.4,67.82,96,100,1.05,CF,1595141440
118,Clarence Town,-32.58,151.78,68.0,48,0,3.1,AU,1595141277
119,Bitung,1.45,125.18,89.6,59,40,3.1,ID,1595141381
120,Chapais,49.78,-74.85,62.6,82,20,3.1,CA,1595141019
121,Husavik,66.04,-17.34,42.8,93,90,2.6,IS,1595140973
122,Hobart,-42.88,147.33,55.99,50,40,4.6,AU,1595140683
123,Alugan,12.22,125.48,84.65,68,100,3.0,PH,1595141528
124,Tautira,-17.73,-149.15,77.0,69,75,2.1,PF,1595141461
125,Kingaroy,-26.53,151.83,73.99,23,0,0.5,AU,1595141528
126,Qaanaaq,77.48,-69.36,45.75,77,99,0.14,GL,1595140952
127,Pemba,-12.97,40.52,75.2,78,40,8.2,MZ,1595141528
128,Tiksi,71.69,128.87,55.92,87,99,3.44,RU,1595140958
129,Roebourne,-20.78,117.13,76.39,42,1,2.64,AU,1595141392
130,Port Hawkesbury,45.62,-61.35,57.99,100,90,1.0,CA,1595141329
131,Kiruna,67.86,20.23,57.2,87,100,3.6,SE,1595141529
132,Juliaca,-15.5,-70.13,33.62,89,0,0.45,PE,1595141529
133,Nemuro,43.32,145.57,75.2,73,75,1.5,JP,1595141292
134,Umm Hājar,13.3,19.7,85.06,54,77,4.96,TD,1595141003
135,Khatanga,71.97,102.5,49.73,81,100,3.48,RU,1595140954
136,Ranong,9.97,98.63,91.4,66,40,3.1,TH,1595141433
137,Talnakh,69.49,88.4,59.0,54,98,6.45,RU,1595140780
